,time,median_length,median_delay_seconds,median_regular_speed,median_seconds,median_speed,median_jam_level
1672,2022-08-01 20:00:00,1417.0,764.0,20.244999,920.0,6.52,4.0
1675,2022-08-02 06:00:00,1173.0,546.0,18.53,660.0,6.39,4.0
1685,2022-08-02 07:00:00,605.5,599.0,17.16,654.0,3.85,4.0
1695,2022-08-02 14:00:00,1147.0,235.0,20.35,322.5,10.690001,3.0
1696,2022-08-02 14:00:00,1257.0,611.0,19.72,728.0,5.48,4.0
1700,2022-08-02 15:00:00,1242.0,742.0,20.51,865.0,5.53,4.0
1701,2022-08-02 15:00:00,512.0,174.0,19.75,227.0,8.1,3.0
1709,2022-08-02 16:00:00,1273.0,506.0,19.2,625.0,7.05,4.0
1710,2022-08-02 16:00:00,1498.5,355.5,19.115,496.5,10.58,3.0
1713,2022-08-02 17:00:00,1022.0,565.5,16.97,659.5,5.6899996,4.0
1716,2022-08-02 17:00:00,501.0,192.0,15.48,239.0,7.53,3.0
1728,2022-08-02 18:00:00,1420.0,620.0,16.72,749.0,6.81,4.0
1729,2022-08-02 18:00:00,1420.0,350.0,17.94,479.0,9.78,3.0
1734,2022-08-03 10:00:00,1765.0,659.5,11.059999,820.0,7.745,3.0
1735,2022-08-03 10:00:00,1417.0,675.5,12.49,814.5,6.7349997,4.0
1737,2022-08-03 11:00:00,882.0,300.5,12.594999,378.5,8.26,3.0
1738,2022-08-03 11:00:00,1107.0,614.0,12.76,697.0,5.93,4.0
1749,2022-08-03 12:00:00,1501.5,591.0,13.87,719.5,6.63,4.0
1750,2022-08-03 12:00:00,1420.0,452.0,14.59,593.0,8.88,3.0
1753,2022-08-03 13:00:00,1608.5,428.0,17.72,586.5,9.585,3.0
1754,2022-08-03 13:00:00,1420.0,613.0,16.04,761.0,6.76,4.0
1756,2022-08-03 14:00:00,1417.0,361.5,16.720001,501.0,9.66,3.0
1757,2022-08-03 14:00:00,994.0,662.0,18.36,780.5,5.0,4.0
1759,2022-08-03 15:00:00,1160.0,613.5,20.08,728.5,4.635,4.0
1762,2022-08-03 16:00:00,1546.5,422.5,17.79,577.0,9.200001,3.0
1763,2022-08-03 16:00:00,930.0,507.5,20.01,599.0,5.74,4.0
1765,2022-08-03 17:00:00,1221.5,568.0,17.985,663.5,5.28,4.0
1770,2022-08-03 17:00:00,1165.0,249.5,17.875,361.0,9.79,3.0
1772,2022-08-03 18:00:00,1056.5,728.0,14.665,801.0,4.525,4.0
1775,2022-08-03 18:00:00,998.0,375.0,17.22,469.0,8.07,3.0
1782,2022-08-04 06:00:00,994.0,558.0,20.04,655.0,5.46,4.0
1785,2022-08-04 07:00:00,1399.0,579.0,18.68,716.0,6.84,4.0
1789,2022-08-04 07:00:00,1165.0,370.0,18.36,483.0,8.72,3.0
1791,2022-08-04 10:00:00,1107.0,666.0,11.1,766.0,5.25,4.0
1797,2022-08-04 11:00:00,994.0,1002.0,13.35,1095.0,3.26,4.0
